Brand,Age,kmDriven,Transmission,Owner,FuelType
Honda,4,27000.0,Manual,first,petrol
Volkswagen,9,40200.0,Manual,first,petrol
Hyundai,15,43000.0,Manual,second,diesel
Maruti Suzuki,4,28000.0,Manual,first,petrol
Maruti Suzuki,10,300000.0,Manual,second,petrol
Mahindra,14,300000.0,Manual,first,diesel
Maruti Suzuki,9,100000.0,Manual,second,hybrid/cng
Honda,11,115000.0,Manual,second,petrol
Maruti Suzuki,4,69876.0,Manual,first,petrol
Maruti Suzuki,10,47000.0,Manual,first,petrol
Honda,7,120000.0,Manual,second,diesel
Skoda,7,95000.0,Automatic,first,diesel
Honda,13,90000.0,Automatic,second,petrol
Maruti Suzuki,6,60000.0,Manual,second,hybrid
Jeep,2,15000.0,Automatic,first,petrol
Maruti Suzuki,10,93000.0,Manual,second,diesel
Hyundai,12,75000.0,Automatic,second,hybrid
Honda,13,110000.0,Manual,second,hybrid
Tata,1,59500.0,Manual,first,diesel
Skoda,13,82500.0,Manual,second,petrol
Tata,6,190000.0,Manual,first,diesel
Fiat,12,160000.0,Manual,first,diesel
BMW,7,24000.0,Automatic,second,diesel
Mahindra,2,69000.0,Manual,first,diesel
Skoda,7,96339.0,Automatic,second,petrol
Ford,7,30000.0,Automatic,second,petrol
Hyundai,3,55000.0,Manual,first,petrol
Maruti Suzuki,2,71200.0,Manual,first,hybrid/cng
Toyota,9,168000.0,Manual,second,diesel
Maruti Suzuki,7,70000.0,Automatic,first,petrol
Mahindra,2,24000.0,Automatic,first,diesel
Datsun,6,60.0,Manual,second,hybrid
Honda,12,70000.0,Manual,second,petrol
Renault,4,71200.0,Automatic,first,hybrid/cng
Hyundai,7,63000.0,Manual,second,hybrid/cng
Maruti Suzuki,10,70927.0,Manual,second,petrol
Hyundai,10,54752.0,Manual,second,petrol
Honda,8,33950.0,Automatic,first,petrol
Maruti Suzuki,7,63395.0,Manual,first,hybrid/cng
Renault,9,53000.0,Manual,first,petrol
Hyundai,5,59980.0,Automatic,first,petrol
Lexus,5,79000.0,Automatic,first,hybrid/cng
Maruti Suzuki,2,300000.0,Manual,second,hybrid/cng
Mahindra,6,43700.0,Manual,second,petrol
Hyundai,0,4700.0,Manual,first,diesel
Maruti Suzuki,2,24000.0,Automatic,first,petrol
Tata,17,54000.0,Manual,second,petrol
Honda,6,75000.0,Automatic,second,diesel
