Brand,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,AskPrice_Log
Hyundai,10,54000.0,Automatic,second,petrol,479000,13.079457964073546
Maruti Suzuki,4,300000.0,Manual,first,petrol,840000,13.641158361294979
Toyota,2,25000.0,Automatic,first,diesel,2600000,14.77102238760702
Mahindra,2,14000.0,Automatic,first,petrol,1550000,14.253766134056512
Tata,9,56000.0,Manual,first,petrol,235000,12.367345048436391
BMW,8,47000.0,Automatic,second,diesel,2500000,14.731801689838349
Jaguar,11,97763.0,Automatic,second,diesel,1550000,14.253766134056512
Tata,3,74000.0,Manual,second,petrol,515000,13.151924121391561
Honda,9,300000.0,Manual,second,petrol,385000,12.861001210669146
Toyota,3,300000.0,Manual,second,diesel,2550000,14.751604309291395
Skoda,10,71000.0,Automatic,second,petrol,395000,12.886643575525625
Mahindra,4,40000.0,Manual,first,diesel,1195000,13.993657580167481
Hyundai,14,83000.0,Manual,second,petrol,235000,12.367345048436391
Toyota,12,166000.0,Manual,second,diesel,1650000,14.316286451937186
Tata,20,300000.0,Manual,second,petrol,98000,11.49273296168228
Maruti Suzuki,5,91000.0,Manual,first,diesel,1149000,13.954403427152533
Tata,2,27000.0,Manual,first,diesel,1865000,14.438772147252939
Hyundai,6,77620.0,Automatic,first,diesel,1350000,14.115615891155079
Ford,7,85000.0,Manual,second,diesel,649999,13.38472764187182
Tata,8,58.0,Automatic,second,petrol,186000,12.133507329024972
Maruti Suzuki,8,25.0,Manual,second,diesel,420000,12.948012371209098
Maruti Suzuki,18,20024.0,Manual,first,petrol,20000,9.90353755128617
Hyundai,10,80000.0,Manual,second,petrol,375556,12.836165536269432
Volkswagen,5,300000.0,Automatic,second,petrol,1185000,13.98525417643287
Honda,8,77000.0,Automatic,first,petrol,575000,13.26212705890841
Maruti Suzuki,6,63259.0,Automatic,second,diesel,520000,13.161586013632684
Ford,7,110000.0,Manual,first,diesel,449999,13.017002861746503
Hyundai,1,14000.0,Automatic,first,petrol,925000,13.73755009757506
Volkswagen,6,52000.0,Automatic,first,diesel,1915000,14.46522870278996
Mercedes-Benz,13,300000.0,Automatic,second,diesel,7500000,15.830413711839864
BMW,8,65000.0,Automatic,second,diesel,1325000,14.096923772119156
Renault,8,75000.0,Automatic,second,diesel,595000,13.296318365198623
Maruti Suzuki,17,135000.0,Manual,second,diesel,165000,12.013706813470414
Toyota,10,105000.0,Manual,second,diesel,780000,13.567050480716235
BMW,11,61000.0,Automatic,second,diesel,851000,13.654168582642953
Maruti Suzuki,1,21209.0,Manual,first,petrol,1290000,14.070153551531353
Toyota,4,87000.0,Manual,first,petrol,733000,13.504902345124338
Renault,8,130000.0,Manual,second,diesel,599000,13.303018546545275
Volvo,9,125000.0,Automatic,second,diesel,1075000,13.887832149776026
Tata,6,30000.0,Automatic,first,petrol,355000,12.779875885354993
Audi,9,78561.0,Automatic,first,diesel,898970,13.709006054868938
Honda,8,63000.0,Manual,second,petrol,600000,13.304686600863562
Honda,8,65000.0,Manual,first,petrol,410000,12.923914877701906
Volkswagen,9,102000.0,Automatic,second,petrol,450000,13.017005083966255
Maruti Suzuki,2,35000.0,Automatic,first,petrol,745000,13.521140839642674
